VALUE,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SEV_SOURCE,SEV_CONFIDENCE,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION,R,G,B,RED,GREEN,BLUE
114,2016,Fire,High,High,MTBS,Medium,Decision Tree Modeled,MTBS,NA,NA,MTBS gap (value = 6) filled with See5 classified output.,255,0,0,1,0,0
115,2016,Fire,High,Increased Green,MTBS,Medium,Decision Tree Modeled,MTBS,NA,NA,MTBS gap (value = 6) filled with See5 classified output.,255,0,0,1,0,0
211,2016,Fire,High,Unburned/Low,MTBS,Low,Focal Majority,MTBS,NA,NA,MTBS gap (value = 6) filled with 13x13 focal majority matrix.,255,0,0,1,0,0
212,2016,Fire,High,Low,MTBS,Low,Focal Majority,MTBS,NA,NA,MTBS gap (value = 6) filled with 13x13 focal majority matrix.,255,0,0,1,0,0
213,2016,Fire,High,Medium,MTBS,Low,Focal Majority,MTBS,NA,NA,MTBS gap (value = 6) filled with 13x13 focal majority matrix.,255,0,0,1,0,0
214,2016,Fire,High,High,MTBS,Low,Focal Majority,MTBS,NA,NA,MTBS gap (value = 6) filled with 13x13 focal majority matrix.,255,0,0,1,0,0
215,2016,Fire,High,Increased Green,MTBS,Low,Focal Majority,MTBS,NA,NA,MTBS gap (value = 6) filled with 13x13 focal majority matrix.,255,0,0,1,0,0
231,2016,Fire,High,Unburned/Low,RAVG,Low,Focal Majority,RAVG,NA,NA,RAVG gap (value = 9) filled with 13x13 focal majority matrix.,255,0,0,1,0,0
232,2016,Fire,High,Low,RAVG,Low,Focal Majority,RAVG,NA,NA,RAVG gap (value = 9) filled with 13x13 focal majority matrix.,255,0,0,1,0,0
233,2016,Fire,High,Medium,RAVG,Low,Focal Majority,RAVG,NA,NA,RAVG gap (value = 9) filled with 13x13 focal majority matrix.,255,0,0,1,0,0
234,2016,Fire,High,High,RAVG,Low,Focal Majority,RAVG,NA,NA,RAVG gap (value = 9) filled with 13x13 focal majority matrix.,255,0,0,1,0,0
411,2016,Development,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Development LANDFIRE Events Geodatabase polygon.,191,191,191,0.749,0.749,0.749
412,2016,Development,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Development LANDFIRE Events Geodatabase polygon.,191,191,191,0.749,0.749,0.749
413,2016,Development,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Development LANDFIRE Events Geodatabase polygon.,191,191,191,0.749,0.749,0.749
421,2016,Clearcut,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Clearcut LANDFIRE Events Geodatabase polygon.,128,97,69,0.502,0.3804,0.2706
422,2016,Clearcut,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Clearcut LANDFIRE Events Geodatabase polygon.,128,97,69,0.502,0.3804,0.2706
423,2016,Clearcut,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Clearcut LANDFIRE Events Geodatabase polygon.,128,97,69,0.502,0.3804,0.2706
431,2016,Harvest,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Harvest LANDFIRE Events Geodatabase polygon.,255,255,119,1,1,0.4667
432,2016,Harvest,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Harvest LANDFIRE Events Geodatabase polygon.,255,255,119,1,1,0.4667
433,2016,Harvest,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Harvest LANDFIRE Events Geodatabase polygon.,255,255,119,1,1,0.4667
441,2016,Thinning,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Thinning LANDFIRE Events Geodatabase polygon.,181,156,114,0.7098,0.6118,0.4471
442,2016,Thinning,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Thinning LANDFIRE Events Geodatabase polygon.,181,156,114,0.7098,0.6118,0.4471
443,2016,Thinning,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Thinning LANDFIRE Events Geodatabase polygon.,181,156,114,0.7098,0.6118,0.4471
451,2016,Mastication,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Mastication LANDFIRE Events Geodatabase polygon.,255,102,0,1,0.4,0
452,2016,Mastication,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Mastication LANDFIRE Events Geodatabase polygon.,255,102,0,1,0.4,0
453,2016,Mastication,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Mastication LANDFIRE Events Geodatabase polygon.,255,102,0,1,0.4,0
461,2016,Other Mechanical,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Other Mechanical LANDFIRE Events Geodatabase polygon.,96,255,71,0.3765,1,0.2784
462,2016,Other Mechanical,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Other Mechanical LANDFIRE Events Geodatabase polygon.,96,255,71,0.3765,1,0.2784
463,2016,Other Mechanical,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Other Mechanical LANDFIRE Events Geodatabase polygon.,96,255,71,0.3765,1,0.2784
471,2016,Wildfire,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.,255,0,0,1,0,0
472,2016,Wildfire,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.,255,0,0,1,0,0
473,2016,Wildfire,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.,255,0,0,1,0,0
481,2016,Wildland Fire Use,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire Use LANDFIRE Events Geodatabase polygon.,255,0,0,1,0,0
482,2016,Wildland Fire Use,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire Use LANDFIRE Events Geodatabase polygon.,255,0,0,1,0,0
483,2016,Wildland Fire Use,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire Use LANDFIRE Events Geodatabase polygon.,255,0,0,1,0,0
491,2016,Prescribed Fire,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Prescribed Fire LANDFIRE Events Geodatabase polygon.,173,0,28,0.6784,0,0.1098
492,2016,Prescribed Fire,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Prescribed Fire LANDFIRE Events Geodatabase polygon.,173,0,28,0.6784,0,0.1098
493,2016,Prescribed Fire,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Prescribed Fire LANDFIRE Events Geodatabase polygon.,173,0,28,0.6784,0,0.1098
501,2016,Wildland Fire,High,Low,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.,255,0,0,1,0,0
502,2016,Wildland Fire,High,Medium,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.,255,0,0,1,0,0
503,2016,Wildland Fire,High,High,dNBR (Std Dev Breaks),High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.,255,0,0,1,0,0
511,2016,Weather,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Weather LANDFIRE Events Geodatabase polygon.,191,191,191,0.749,0.749,0.749
512,2016,Weather,Medium,Medium,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Weather LANDFIRE Events Geodatabase polygon.,191,191,191,0.749,0.749,0.749
513,2016,Weather,Medium,High,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Weather LANDFIRE Events Geodatabase polygon.,191,191,191,0.749,0.749,0.749
521,2016,Insecticide,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insecticide LANDFIRE Events Geodatabase polygon.,67,162,181,0.2627,0.6353,0.7098
522,2016,Insecticide,Medium,Medium,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insecticide LANDFIRE Events Geodatabase polygon.,67,162,181,0.2627,0.6353,0.7098
523,2016,Insecticide,Medium,High,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insecticide LANDFIRE Events Geodatabase polygon.,67,162,181,0.2627,0.6353,0.7098
531,2016,Chemical,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Chemical LANDFIRE Events Geodatabase polygon.,255,255,0,1,1,0
532,2016,Chemical,Medium,Medium,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Chemical LANDFIRE Events Geodatabase polygon.,255,255,0,1,1,0
533,2016,Chemical,Medium,High,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Chemical LANDFIRE Events Geodatabase polygon.,255,255,0,1,1,0
541,2016,Insects,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insects LANDFIRE Events Geodatabase polygon.,146,232,215,0.5725,0.9098,0.8431
542,2016,Insects,Medium,Medium,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insects LANDFIRE Events Geodatabase polygon.,146,232,215,0.5725,0.9098,0.8431
543,2016,Insects,Medium,High,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insects LANDFIRE Events Geodatabase polygon.,146,232,215,0.5725,0.9098,0.8431
551,2016,Disease,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Disease LANDFIRE Events Geodatabase polygon.,4,45,117,0.0157,0.1765,0.4588
552,2016,Disease,Medium,Medium,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Disease LANDFIRE Events Geodatabase polygon.,4,45,117,0.0157,0.1765,0.4588
553,2016,Disease,Medium,High,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Disease LANDFIRE Events Geodatabase polygon.,4,45,117,0.0157,0.1765,0.4588
561,2016,Insects/Disease,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insect/Disease LANDFIRE Events Geodatabase polygon.,0,0,255,0,0,1
562,2016,Insects/Disease,Medium,Medium,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insect/Disease LANDFIRE Events Geodatabase polygon.,0,0,255,0,0,1
563,2016,Insects/Disease,Medium,High,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insect/Disease LANDFIRE Events Geodatabase polygon.,0,0,255,0,0,1
571,2016,Herbicide,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Herbicide LANDFIRE Events Geodatabase polygon.,192,255,138,0.7529,1,0.5412
572,2016,Herbicide,Medium,Medium,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Herbicide LANDFIRE Events Geodatabase polygon.,192,255,138,0.7529,1,0.5412
573,2016,Herbicide,Medium,High,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Herbicide LANDFIRE Events Geodatabase polygon.,192,255,138,0.7529,1,0.5412
581,2016,Biological,Medium,Low,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Biological LANDFIRE Events Geodatabase polygon.,0,51,0,0,0.2,0
582,2016,Biological,Medium,Medium,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Biological LANDFIRE Events Geodatabase polygon.,0,51,0,0,0.2,0
583,2016,Biological,Medium,High,dNBR (Std Dev Breaks),Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Biological LANDFIRE Events Geodatabase polygon.,0,51,0,0,0.2,0
601,2016,Unknown,NA,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2).",122,127,117,0.4784,0.498,0.4588
602,2016,Unknown,NA,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2).",122,127,117,0.4784,0.498,0.4588
603,2016,Unknown,NA,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2).",122,127,117,0.4784,0.498,0.4588
701,2016,Unknown,NA,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). ",122,127,117,0.4784,0.498,0.4588
702,2016,Unknown,NA,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). ",122,127,117,0.4784,0.498,0.4588
703,2016,Unknown,NA,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). ",122,127,117,0.4784,0.498,0.4588
711,2016,Development,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Development causality likely, but could be other causality type than assigned (Image-based change detection pixels within Development LANDFIRE Events Geodatabase 500 m buffer). ",191,191,191,0.749,0.749,0.749
712,2016,Development,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Development causality likely, but could be other causality type than assigned (Image-based change detection pixels within Development LANDFIRE Events Geodatabase 500 m buffer). ",191,191,191,0.749,0.749,0.749
713,2016,Development,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Development causality likely, but could be other causality type than assigned (Image-based change detection pixels within Development LANDFIRE Events Geodatabase 500 m buffer). ",191,191,191,0.749,0.749,0.749
721,2016,Clearcut,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Clearcut causality likely, but could be other causality type than assigned (Image-based change detection pixels within Clearcut LANDFIRE Events Geodatabase 500 m buffer). ",128,97,69,0.502,0.3804,0.2706
722,2016,Clearcut,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Clearcut causality likely, but could be other causality type than assigned (Image-based change detection pixels within Clearcut LANDFIRE Events Geodatabase 500 m buffer). ",128,97,69,0.502,0.3804,0.2706
723,2016,Clearcut,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Clearcut causality likely, but could be other causality type than assigned (Image-based change detection pixels within Clearcut LANDFIRE Events Geodatabase 500 m buffer). ",128,97,69,0.502,0.3804,0.2706
731,2016,Harvest,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Harvest causality likely, but could be other causality type than assigned (Image-based change detection pixels within Harvest LANDFIRE Events Geodatabase 500 m buffer). ",255,255,119,1,1,0.4667
732,2016,Harvest,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Harvest causality likely, but could be other causality type than assigned (Image-based change detection pixels within Harvest LANDFIRE Events Geodatabase 500 m buffer). ",255,255,119,1,1,0.4667
733,2016,Harvest,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Harvest causality likely, but could be other causality type than assigned (Image-based change detection pixels within Harvest LANDFIRE Events Geodatabase 500 m buffer). ",255,255,119,1,1,0.4667
741,2016,Thinning,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Thinning causality likely, but could be other causality type than assigned (Image-based change detection pixels within Thinning LANDFIRE Events Geodatabase 500 m buffer). ",181,156,114,0.7098,0.6118,0.4471
742,2016,Thinning,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Thinning causality likely, but could be other causality type than assigned (Image-based change detection pixels within Thinning LANDFIRE Events Geodatabase 500 m buffer). ",181,156,114,0.7098,0.6118,0.4471
743,2016,Thinning,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Thinning causality likely, but could be other causality type than assigned (Image-based change detection pixels within Thinning LANDFIRE Events Geodatabase 500 m buffer). ",181,156,114,0.7098,0.6118,0.4471
751,2016,Mastication,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Mastication causality likely, but could be other causality type than assigned (Image-based change detection pixels within Mastication LANDFIRE Events Geodatabase 500 m buffer). ",255,102,0,1,0.4,0
752,2016,Mastication,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Mastication causality likely, but could be other causality type than assigned (Image-based change detection pixels within Mastication LANDFIRE Events Geodatabase 500 m buffer). ",255,102,0,1,0.4,0
753,2016,Mastication,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Mastication causality likely, but could be other causality type than assigned (Image-based change detection pixels within Mastication LANDFIRE Events Geodatabase 500 m buffer). ",255,102,0,1,0.4,0
761,2016,Other Mechanical,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Other Mechanical causality likely, but could be other causality type than assigned (Image-based change detection pixels within Development LANDFIRE Events Geodatabase 500 m buffer). ",96,255,71,0.3765,1,0.2784
762,2016,Other Mechanical,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Other Mechanical causality likely, but could be other causality type than assigned (Image-based change detection pixels within Development LANDFIRE Events Geodatabase 500 m buffer). ",96,255,71,0.3765,1,0.2784
763,2016,Other Mechanical,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Other Mechanical causality likely, but could be other causality type than assigned (Image-based change detection pixels within Development LANDFIRE Events Geodatabase 500 m buffer). ",96,255,71,0.3765,1,0.2784
771,2016,Wildfire,Medium,Low,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildfire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildfire LANDFIRE Events Geodatabase 500 m buffer). ",255,0,0,1,0,0
772,2016,Wildfire,Medium,Medium,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildfire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildfire LANDFIRE Events Geodatabase 500 m buffer). ",255,0,0,1,0,0
773,2016,Wildfire,Medium,High,dNBR (Std Dev Breaks),Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildfire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildfire LANDFIRE Events Geodatabase 500 m buffer). ",255,0,0,1,0,0
