VALUE,NVC_NAME,LFRDB,LFLIFEFORM,NVC_CLASS,NVC_SUBCLASS,NVC_FORMATION,NVC_DIVISION,CLASS,SUBCLASS,FORMATION,DIVISION_CODE,DIVISION,MACROGROUP_CODE,MACROGROUP,Group_Code,GROUP,R,G,B,RED,GREEN,BLUE
4509,Aleutian Ericaceous Dwarf-shrubland,4509,Shrub,2,2.B,2.B.3,2.B.3.Na,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.3 Boreal Grassland & Shrubland Formation,D025,2.B.3.Na North American Boreal Grassland & Shrubland Division,M055,North American Boreal Shrubland & Grassland Macrogroup,G362,Aleutian Ericaceous Dwarf-shrubland Group,79,36,26,0.309804,0.141176,0.101961
4510,Aleutian Mesic Forb Meadow,4510,Herb,2,2.B,2.B.3,2.B.3.Na,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.3 Boreal Grassland & Shrubland Formation,D025,2.B.3.Na North American Boreal Grassland & Shrubland Division,M055,North American Boreal Shrubland & Grassland Macrogroup,G358,Western Boreal Mesic Grassland & Meadow Group,255,85,33,1,0.333333,0.129412
4511,Aleutian Mesic Willow Low Shrubland,4511,Shrub,2,2.B,2.B.3,2.B.3.Na,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.3 Boreal Grassland & Shrubland Formation,D025,2.B.3.Na North American Boreal Grassland & Shrubland Division,M055,North American Boreal Shrubland & Grassland Macrogroup,G356,Western Boreal Mesic Birch-Willow Low Shrubland Group,73,175,188,0.286275,0.686275,0.737255
4512,Arctic & Subarctic Coastal Salt Marsh,4512,Herb,2,2.C,2.C.5,2.C.5.Nk,2 Shrub & Herb Vegetation Class,2.C Shrub & Herb Wetland Subclass,2.C.5 Salt Marsh Formation,D187,2.C.5.Nk Arctic Coastal Salt Marsh Division,M403,Arctic Tidal Salt Marsh Macrogroup,G535,Arctic & Subarctic Coastal Salt Marsh Group,255,153,10,1,0.6,0.039216
4513,Arctic Coastal Dune & Beach,4513,Sparse,2,2.B,2.B.4,2.B.4.Nd,2 Shrub & Herb Vegetation,2.B Temperate & Boreal Grassland & Shrubland,2.B.4 Temperate to Polar Scrub & Herb Coastal Vegetation,D146,2.B.4.Nd Arctic Coastal Scrub & Herb Vegetation,M402,North American Arctic Coastal Shore,G864,Arctic Coastal Dune & Beach Group,255,0,0,1,0,0
4514,Arctic Coastal Rocky Shore,4514,Sparse,2,2.B,2.B.4,2.B.4.Nd,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.4 Temperate to Polar Scrub & Herb Coastal Vegetation Formation,D146,2.B.4.Nd Arctic Coastal Scrub & Herb Vegetation Division,M402,North American Arctic Coastal Shore Macrogroup,G611,Arctic Coastal Rocky Shore Group,255,0,0,1,0,0
4515,Arctic Dwarf-shrub Tundra,4515,Shrub,4,4.B,4.B.2,4.B.2.Xa,"4 Polar & High Montane Scrub, Grassland & Barrens",4.B Temperate to Polar Alpine & Tundra Vegetation,4.B.2 Polar Tundra & Barrens,D044,4.B.2.Xa Arctic Tundra & Barrens,M173,Arctic Dry-Moist Tundra,G896,Arctic Dwarf-shrub Tundra Group,255,73,28,1,0.286275,0.109804
4516,Arctic Gravel Floodplain Vegetation,4516,Sparse,2,2.B,4.B.2,4.B.2.Xa,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,4.B.2 Polar Tundra & Barrens Formation,D044,4.B.2.Xa Arctic Tundra & Barrens Division,M175,"Arctic Scree, Rock & Cliff Barrens Macrogroup",G616,Arctic Gravel Floodplain Vegetation Group,255,0,0,1,0,0
4517,Arctic Herbaceous Tundra,4517,Herb,4,4.B,4.B.2,4.B.2.Xa,"4 Polar & High Montane Scrub, Grassland & Barrens",4.B Temperate to Polar Alpine & Tundra Vegetation,4.B.2 Polar Tundra & Barrens,D044,4.B.2.Xa Arctic Tundra & Barrens,M173,Arctic Dry-Moist Tundra,G898,Arctic Herbaceous Tundra Group,255,73,28,1,0.286275,0.109804
4519,Arctic Lichen Barrens,4519,Herb,4,4.B,4.B.2,4.B.2.Xa,"4 Polar & High Montane Scrub, Grassland & Barrens",4.B Temperate to Polar Alpine & Tundra Vegetation,4.B.2 Polar Tundra & Barrens,D044,4.B.2.Xa Arctic Tundra & Barrens,M175,"Arctic Scree, Rock & Cliff Barrens",G868,Arctic Lichen Barrens Group,255,102,0,1,0.4,0
4520,Arctic Low Shrub Tundra,4520,Shrub,4,4.B,4.B.2,4.B.2.Xa,"4 Polar & High Montane Scrub, Grassland & Barrens",4.B Temperate to Polar Alpine & Tundra Vegetation,4.B.2 Polar Tundra & Barrens,D044,4.B.2.Xa Arctic Tundra & Barrens,M173,Arctic Dry-Moist Tundra,G897,Arctic Low Shrub Tundra Group,194,68,21,0.760784,0.266667,0.082353
4521,"Arctic Open Scree, Rock & Cliff Barrens",4521,Sparse,4,4.B,4.B.2,4.B.2.Xa,"4 Polar & High Montane Scrub, Grassland & Barrens",4.B Temperate to Polar Alpine & Tundra Vegetation,4.B.2 Polar Tundra & Barrens,D044,4.B.2.Xa Arctic Tundra & Barrens,M175,"Arctic Scree, Rock & Cliff Barrens",G869,"Arctic Open Scree, Rock & Cliff Barrens Group",255,0,0,1,0,0
4522,Central Alaskan Boreal Montane Woodland,4522,Tree,1,1.B,1.B.4,1.B.4.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.4 Boreal Forest & Woodland,D014,1.B.4.Na North American Boreal Forest & Woodland,M156,Alaskan-Yukon North American Boreal Forest,G856,Central Alaskan Boreal Montane Woodland Group,159,255,128,0.623529,1,0.501961
4523,Central Alaskan-Yukon Boreal Mesic Forest,4523,Tree,1,1.B,1.B.4,1.B.4.Na,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.4 Boreal Forest & Woodland Formation,D014,1.B.4.Na North American Boreal Forest & Woodland Division,M156,Alaskan-Yukon North American Boreal Forest Macrogroup,G579,Central Alaskan-Yukon Boreal Mesic Forest Group,182,250,227,0.713725,0.980392,0.890196
4524,North American Arctic Freshwater Marsh,4524,Herb,2,2.C,2.C.4,2.C.4.Np,2 Shrub & Herb Vegetation Class,2.C Shrub & Herb Wetland Subclass,"2.C.4 Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland Formation",D320,2.C.4.Np Arctic Freshwater Marsh & Wet Meadow Division,M870,Arctic Freshwater Marsh & Wet Meadow Macrogroup,G370,North American Arctic Freshwater Marsh Group,255,153,0,1,0.6,0
4525,North American Arctic Tall Willow Wet Shrub Tundra,4525,Shrub,2,2.C,2.C.4,2.C.4.Np,2 Shrub & Herb Vegetation Class,2.C Shrub & Herb Wetland Subclass,"2.C.4 Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland Formation",D320,2.C.4.Np Arctic Freshwater Marsh & Wet Meadow Division,M870,Arctic Freshwater Marsh & Wet Meadow Macrogroup,G368,North American Arctic Tall Willow Wet Shrub Tundra Group,194,68,21,0.760784,0.266667,0.082353
4526,North American Arctic Wet Meadow,4526,Herb,2,2.C,2.C.4,2.C.4.Np,2 Shrub & Herb Vegetation Class,2.C Shrub & Herb Wetland Subclass,"2.C.4 Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland Formation",D320,2.C.4.Np Arctic Freshwater Marsh & Wet Meadow Division,M870,Arctic Freshwater Marsh & Wet Meadow Macrogroup,G617,North American Arctic Wet Meadow Group,85,33,1,0.333333,0.129412,
4527,North American Arctic Wet Shrubland,4527,Shrub,2,2.C,2.C.4,2.C.4.Np,2 Shrub & Herb Vegetation Class,2.C Shrub & Herb Wetland Subclass,"2.C.4 Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland Formation",D320,2.C.4.Np Arctic Freshwater Marsh & Wet Meadow Division,M870,Arctic Freshwater Marsh & Wet Meadow Macrogroup,G830,North American Arctic Wet Shrubland Group,73,175,188,0.286275,0.686275,0.737255
4529,Northern Vancouverian Grassland & Meadow,4529,Herb,2,2.B,2.B.2,2.B.2.Nf,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.2 Temperate Grassland & Shrubland Formation,D022,2.B.2.Nf Western North American Grassland & Shrubland Division,M172,Northern Vancouverian Lowland-Montane Grassland & Shrubland Macrogroup,G355,Northern Vancouverian Grassland & Meadow Group,255,25,8,1,0.098039,0.031373
4530,Southern Alaskan Boreal Montane Woodland,4530,Tree,1,1.B,1.B.4,1.B.4.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.4 Boreal Forest & Woodland,D014,1.B.4.Na North American Boreal Forest & Woodland,M156,Alaskan-Yukon North American Boreal Forest,G857,Southern Alaskan Boreal Montane Woodland Group,159,255,128,0.623529,1,0.501961
4531,Southern Alaskan Boreal Mesic Forest,4531,Tree,1,1.B,1.B.4,1.B.4.Na,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.4 Boreal Forest & Woodland Formation,D014,1.B.4.Na North American Boreal Forest & Woodland Division,M156,Alaskan-Yukon North American Boreal Forest Macrogroup,G627,Southern Alaskan Boreal Mesic Forest Group,159,255,128,0.623529,1,0.501961
4532,Vancouverian Alder-Salmonberry-Willow Shrubland,4532,Shrub,2,2.B,2.B.2,2.B.2.Nf,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.2 Temperate Grassland & Shrubland Formation,D022,2.B.2.Nf Western North American Grassland & Shrubland Division,M172,Northern Vancouverian Lowland-Montane Grassland & Shrubland Macrogroup,G354,Vancouverian Alder-Salmonberry-Willow Shrubland Group,146,237,224,0.572549,0.929412,0.878431
4533,Western Boreal Alpine Acidic Mesic Meadow,4533,Herb,4,4.B,4.B.1,4.B.1.Nb,"4 Polar & High Montane Scrub, Grassland & Barrens Class",4.B Temperate to Polar Alpine & Tundra Vegetation Subclass,4.B.1 Temperate & Boreal Alpine Tundra Formation,D043,4.B.1.Nb Western North American Alpine Tundra Division,M404,Western Boreal Alpine Tundra Macrogroup,G747,Western Boreal Alpine Acidic Mesic Meadow Group,255,211,119,1,0.827451,0.466667
4534,"Western Boreal Alpine Cliff, Scree & Rock Vegetation",4534,Sparse,4,4.B,4.B.1,4.B.1.Nb,"4 Polar & High Montane Scrub, Grassland & Barrens Class",4.B Temperate to Polar Alpine & Tundra Vegetation Subclass,4.B.1 Temperate & Boreal Alpine Tundra Formation,D043,4.B.1.Nb Western North American Alpine Tundra Division,M404,Western Boreal Alpine Tundra Macrogroup,G785,"Western Boreal Alpine Cliff, Scree & Rock Vegetation Group",255,0,0,1,0,0
4535,Western Boreal Alpine Dwarf-shrubland,4535,Shrub,4,4.B,4.B.1,4.B.1.Nb,"4 Polar & High Montane Scrub, Grassland & Barrens Class",4.B Temperate to Polar Alpine & Tundra Vegetation Subclass,4.B.1 Temperate & Boreal Alpine Tundra Formation,D043,4.B.1.Nb Western North American Alpine Tundra Division,M404,Western Boreal Alpine Tundra Macrogroup,G613,Western Boreal Alpine Dwarf-shrubland Group,212,129,34,0.831373,0.505882,0.133333
4536,Western Boreal Alpine Mesic Dwarf Birch-Willow Shrubland,4536,Shrub,4,4.B,4.B.1,4.B.1.Nb,"4 Polar & High Montane Scrub, Grassland & Barrens",4.B Temperate to Polar Alpine & Tundra Vegetation,4.B.1 Temperate & Boreal Alpine Tundra,D043,4.B.1.Nb Western North American Alpine Tundra,M404,Western Boreal Alpine Tundra,G867,Western Boreal Alpine Mesic Dwarf Birch-Willow Shrubland Group,73,175,188,0.286275,0.686275,0.737255
4537,"Western Boreal Cliff, Scree & Rock Vegetation",4537,Sparse,6,6.B,6.B.1,6.B.1.Nc,6 Open Rock Vegetation Class,6.B Temperate & Boreal Open Rock Vegetation Subclass,"6.B.1 Temperate & Boreal Cliff, Scree & Other Rock Vegetation Formation",D329,"6.B.1.Nc North American Boreal Cliff, Scree & Rock Vegetation Division",M895,"North American Boreal Cliff, Scree & Rock Vegetation Macrogroup",G822,"Western Boreal Cliff, Scree & Rock Vegetation Group",255,0,0,1,0,0
4538,Western Boreal Dry Shrubland,4538,Shrub,2,2.B,2.B.3,2.B.3.Na,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.3 Boreal Grassland & Shrubland Formation,D025,2.B.3.Na North American Boreal Grassland & Shrubland Division,M055,North American Boreal Shrubland & Grassland Macrogroup,G359,Western Boreal Dry Shrubland & Grassland Group,255,114,48,1,0.447059,0.188235
4540,Western Boreal Mesic Alder-Willow Shrubland,4540,Shrub,2,2.B,2.B.3,2.B.3.Na,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.3 Boreal Grassland & Shrubland Formation,D025,2.B.3.Na North American Boreal Grassland & Shrubland Division,M055,North American Boreal Shrubland & Grassland Macrogroup,G357,Western Boreal Mesic Alder-Willow Shrubland Group,146,237,224,0.572549,0.929412,0.878431
4541,Western Boreal Mesic Birch-Willow Low Shrubland,4541,Shrub,2,2.B,2.B.3,2.B.3.Na,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.3 Boreal Grassland & Shrubland Formation,D025,2.B.3.Na North American Boreal Grassland & Shrubland Division,M055,North American Boreal Shrubland & Grassland Macrogroup,G356,Western Boreal Mesic Birch-Willow Low Shrubland Group,73,175,188,0.286275,0.686275,0.737255
4542,Western Boreal Mesic Grassland & Meadow,4542,Herb,2,2.B,2.B.3,2.B.3.Na,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.3 Boreal Grassland & Shrubland Formation,D025,2.B.3.Na North American Boreal Grassland & Shrubland Division,M055,North American Boreal Shrubland & Grassland Macrogroup,G358,Western Boreal Mesic Grassland & Meadow Group,255,25,8,1,0.098039,0.031373
4543,Western Boreal Wet Alder-Willow Tall Shrub Swamp,4543,Shrub,2,2.C,2.C.4,2.C.4.Nb,2 Shrub & Herb Vegetation Class,2.C Shrub & Herb Wetland Subclass,"2.C.4 Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland Formation",D320,"2.C.4.Nb Western North American Temperate & Boreal Freshwater Marsh, Wet Meadow & Shrubland Division",M894,"North American Boreal Marsh, Wet Meadow & Shrubland Macrogroup",G866,Western Boreal Wet Alder-Willow Tall Shrub Swamp Group,166,76,17,0.65098,0.298039,0.066666
4544,Western Boreal Wet Birch-Willow Low Shrubland,4544,Shrub,2,2.C,2.C.4,2.C.4.Np,2 Shrub & Herb Vegetation,2.C Shrub & Herb Wetland,"2.C.4 Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",D320,"2.C.4.Np Arctic & Boreal Freshwater Marsh, Wet Meadow & Shrubland",M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G865,Western Boreal Wet Birch-Willow Low Shrubland Group,255,153,0,1,0.6,0
4545,Western Boreal Wet Meadow & Marsh,4545,Herb,2,2.C,2.C.4,2.C.4.Nb,2 Shrub & Herb Vegetation Class,2.C Shrub & Herb Wetland Subclass,"2.C.4 Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland Formation",D320,"2.C.4.Nb Western North American Temperate & Boreal Freshwater Marsh, Wet Meadow & Shrubland Division",M894,"North American Boreal Marsh, Wet Meadow & Shrubland Macrogroup",G528,Western Boreal Wet Meadow & Marsh Group,255,205,112,1,0.803922,0.439215
4546,Western North American Boreal Alkaline Fen,4546,Shrub,2,2.C,2.C.2,2.C.2.Na,2 Shrub & Herb Vegetation Class,2.C Shrub & Herb Wetland Subclass,2.C.2 Temperate to Polar Bog & Fen Formation,D029,2.C.2.Na North American Bog & Fen Division,M877,North American Boreal & Subboreal Alkaline Fen Macrogroup,G361,Western North American Boreal Alkaline Fen Group,255,205,112,1,0.803922,0.439216
4548,Western Boreal Dry Grassland,4538,Herb,2,2.B,2.B.3,2.B.3.Na,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.3 Boreal Grassland & Shrubland Formation,D025,2.B.3.Na North American Boreal Grassland & Shrubland Division,M055,North American Boreal Shrubland & Grassland Macrogroup,G359,Western Boreal Dry Shrubland & Grassland Group,255,114,48,1,0.447059,0.188235
4601,Micronesian Dry Cliff,4601,Sparse,6,6.A,6.A.1,6.A.1.Oa,6 Open Rock Vegetation,6.A Tropical Open Rock Vegetation,"6.A.1 Tropical Cliff, Scree & Other Rock Vegetation",D086,"6.A.1.Oa Polynesian Cliff, Scree & Rock Vegetation",M265,"Hawaiian Cliff, Scree & Rock Vegetation",G000,Micronesian Dry Cliff,100,100,100,0.392157,0.392157,0.392157
4602,Micronesian Dry-Site Lava Flow,4602,Sparse,6,6.A,6.A.1,6.A.1.Oa,6 Open Rock Vegetation,6.A Tropical Open Rock Vegetation,"6.A.1 Tropical Cliff, Scree & Other Rock Vegetation",D086,"6.A.1.Oa Polynesian Cliff, Scree & Rock Vegetation",M265,"Hawaiian Cliff, Scree & Rock Vegetation",G000,Micronesian Dry-Site Lava Flow,100,100,100,0.392157,0.392157,0.392157
4615,Central and Southern Polynesian Cliff,4615,Sparse,6,6.A,6.A.1,6.A.1.Oa,6 Open Rock Vegetation,6.A Tropical Open Rock Vegetation,"6.A.1 Tropical Cliff, Scree & Other Rock Vegetation",D086,"6.A.1.Oa Polynesian Cliff, Scree & Rock Vegetation",M265,"Hawaiian Cliff, Scree & Rock Vegetation",G000,Central and Southern Polynesian Cliff,100,100,100,0.392157,0.392157,0.392157
4616,Central and Southern Polynesian Lava Flow,4616,Sparse,6,6.A,6.A.1,6.A.1.Oa,6 Open Rock Vegetation,6.A Tropical Open Rock Vegetation,"6.A.1 Tropical Cliff, Scree & Other Rock Vegetation",D086,"6.A.1.Oa Polynesian Cliff, Scree & Rock Vegetation",M265,"Hawaiian Cliff, Scree & Rock Vegetation",G000,Central and Southern Polynesian Lava Flow,100,100,100,0.392157,0.392157,0.392157
4623,Central and Southern Polynesian Swamp Forest,4623,Tree,1,1.A,1.A.2,1.A.2.Oa,1 Forest & Woodland,1.A Tropical Forest & Woodland,1.A.2 Tropical Lowland Humid Forest,D066,1.A.2.Oa Polynesian Lowland Rainforest,M188,Central & Southern Polynesian Lowland Rainforest,G000,Central and Southern Polynesian Swamp Forest,67,162,181,0.262745,0.635294,0.709804
4624,Micronesian Ravine and Riparian Shrubland,4624,Shrub,1,1.A,1.A.2,1.A.2.Oa,1 Forest & Woodland,1.A Tropical Forest & Woodland,1.A.2 Tropical Lowland Humid Forest,D066,1.A.2.Oa Polynesian Lowland Rainforest,M188,Central & Southern Polynesian Lowland Rainforest,G000,Micronesian Ravine and Riparian Forest,0,237,0,0,0.929412,0
4629,Micronesian Dry Coastal Strand Shrubland,4603,Shrub,2,2.A,2.A.3,2.A.3.Ob,2 Shrub & Herb Vegetation,"2.A Tropical Grassland, Savanna & Shrubland",2.A.3 Tropical Scrub & Herb Coastal Vegetation,D078,2.A.3.Ob Polynesian Scrub & Herb Coastal Vegetation,M234,Polynesian Ruderal Scrub & Herb Coastal Strand,G000,Micronesian Dry Coastal Strand Shrubland,42,255,31,0.164706,1,0.121569
4630,Micronesian Dry Coastal Strand Herbaceous,4603,Herb,2,2.A,2.A.3,2.A.3.Ob,2 Shrub & Herb Vegetation,"2.A Tropical Grassland, Savanna & Shrubland",2.A.3 Tropical Scrub & Herb Coastal Vegetation,D078,2.A.3.Ob Polynesian Scrub & Herb Coastal Vegetation,M234,Polynesian Ruderal Scrub & Herb Coastal Strand,G000,Micronesian Dry Coastal Strand Herbaceous,42,255,31,0.164706,1,0.121569
4703,Micronesian Dry Coastal Strand,4603,Sparse,6,6.A,6.A.1,6.A.1.Oa,6 Open Rock Vegetation,6.A Tropical Open Rock Vegetation,"6.A.1 Tropical Cliff, Scree & Other Rock Vegetation",D086,"6.A.1.Oa Polynesian Cliff, Scree & Rock Vegetation",M265,"Hawaiian Cliff, Scree & Rock Vegetation",G000,Micronesian Dry Coastal Strand,100,100,100,0.392157,0.392157,0.392157
4704,Micronesian Lowland Rain Forest,4604,Tree,1,1.A,1.A.2,1.A.2.Oa,1 Forest & Woodland,1.A Tropical Forest & Woodland,1.A.2 Tropical Lowland Humid Forest,D066,1.A.2.Oa Polynesian Lowland Rainforest,M188,Central & Southern Polynesian Lowland Rainforest,G000,Micronesian Lowland Rain Forest,0,189,0,0,0.741176,0
4705,Micronesian Lowland Limestone Forest,4605,Tree,1,1.A,1.A.1,1.A.1.Ea,1 Forest & Woodland,1.A Tropical Forest & Woodland,1.A.1 Tropical Dry Forest & Woodland,D099,1.A.1.Ea Caribbeo-Mesoamerican Dry Forest,M294,Caribbean Dry Limestone Forest,G000,Micronesian Lowland Limestone Forest,63,255,46,0.247059,1,0.180392
4706,Central and Southern Polynesian Montane Rainforest,4706,Tree,1,1.A,1.A.3,1.A.3.Oa,1 Forest & Woodland,1.A Tropical Forest & Woodland,1.A.3 Tropical Montane Humid Forest,D068,1.A.3.Oa Polynesian Montane & Cloud Forest,M195,Central & Southern Polynesian Montane & Cloud Forest,G620,Central and Southern Polynesian Montane Rainforest,192,255,138,0.752941,1,0.541176
4709,Micronesian Ravine and Riparian Forest,4609,Tree,1,1.A,1.A.2,1.A.2.Oa,1 Forest & Woodland,1.A Tropical Forest & Woodland,1.A.2 Tropical Lowland Humid Forest,D066,1.A.2.Oa Polynesian Lowland Rainforest,M188,Central & Southern Polynesian Lowland Rainforest,G000,Micronesian Ravine and Riparian Forest,0,237,0,0,0.929412,0
4710,Polynesian Freshwater Marsh,4610,Herb,2,2.C,2.C.3,2.C.3.Ob,2 Shrub & Herb Vegetation,2.C Shrub & Herb Wetland,"2.C.3 Tropical Freshwater Marsh, Wet Meadow & Shrubland",D019,2.C.3.Ob Polynesian & Eastern Melanesian Freshwater Marsh,M042,Polynesian Freshwater Marsh,G000,Polynesian Freshwater Marsh,255,153,0,1,0.6,0
4711,Micronesian Swamp Forest,4611,Tree,1,1.A,1.A.2,1.A.2.Oa,1 Forest & Woodland,1.A Tropical Forest & Woodland,1.A.2 Tropical Lowland Humid Forest,D066,1.A.2.Oa Polynesian Lowland Rainforest,M188,Central & Southern Polynesian Lowland Rainforest,G000,Micronesian Swamp Forest,67,162,181,0.262745,0.635294,0.709804
4712,West Pacific Mangrove,4612,Tree,1,1.A,1.A.5,1.A.5.Wb,1 Forest & Woodland,1.A Tropical Forest & Woodland,1.A.5 Mangrove,D071,1.A.5.Wb Indo-West Pacific Mangrove,M208,West Pacific Mangrove,G402,West Pacific Mangrove,0,237,0,0,0.929412,0
4714,Micronesian Coastal Wooded Strand,4714,Tree,2,2.A,2.A.3,2.A.3.Ob,2 Shrub & Herb Vegetation,"2.A Tropical Grassland, Savanna & Shrubland",2.A.3 Tropical Scrub & Herb Coastal Vegetation,D078,2.A.3.Ob Polynesian Scrub & Herb Coastal Vegetation,M233,Micronesian Scrub & Herb Coastal Vegetation Macrogroup,G607,Micronesian Coastal Wooded Strand,150,58,12,0.588235,0.227451,0.047059
